Numero;Sexo;Level;HP;Ataque;Defesa;AtaqueEspecial;DefesaEspecial;Rapidez
37;F;1;38;41;40;50;65;65
37;F;50;145;102;101;112;128;128
37;F;100;280;199;196;218;251;251
38;M;1;73;76;75;81;100;100
38;M;50;180;140;139;146;167;167
38;M;100;350;276;273;287;328;328
38;F;1;73;76;75;81;100;100
38;F;50;180;140;139;146;167;167
38;F;100;350;276;273;287;328;328
39;M;1;115;45;20;45;25;20
39;M;50;222;106;79;106;84;79
39;M;100;434;207;152;207;163;152
39;F;1;115;45;20;45;25;20
39;F;50;222;106;79;106;84;79
39;F;100;434;207;152;207;163;152
40;M;1;140;70;45;85;50;45
40;M;50;247;134;106;150;112;106
40;M;100;484;262;207;295;218;207
40;F;1;140;70;45;85;50;45
40;F;50;247;134;106;150;112;106
40;F;100;484;262;207;295;218;207
41;M;1;40;45;35;30;40;55
41;M;50;147;106;95;90;101;117
41;M;100;284;207;185;174;196;229
41;F;1;40;45;35;30;40;55
41;F;50;147;106;95;90;101;117
41;F;100;284;207;185;174;196;229
42;M;1;75;80;70;65;75;90
42;M;50;182;145;134;128;139;156
42;M;100;354;284;262;251;273;306
42;F;1;75;80;70;65;75;90
42;F;50;182;145;134;128;139;156
42;F;100;354;284;262;251;273;306
43;M;1;45;50;55;75;65;30
43;M;50;152;112;117;139;128;90
43;M;100;294;218;229;273;251;174
43;F;1;45;50;55;75;65;30
43;F;50;152;112;117;139;128;90
43;F;100;294;218;229;273;251;174
44;M;1;60;65;70;85;75;40
44;M;50;167;128;134;150;139;101
44;M;100;324;251;262;295;273;196
44;F;1;60;65;70;85;75;40
44;F;50;167;128;134;150;139;101
44;F;100;324;251;262;295;273;196
45;M;1;75;80;85;110;90;50
45;M;50;182;145;150;178;156;112
45;M;100;354;284;295;350;306;218
45;F;1;75;80;85;110;90;50
45;F;50;182;145;150;178;156;112
45;F;100;354;284;295;350;306;218
46;M;1;35;70;55;45;55;25
46;M;50;142;134;117;106;117;84
46;M;100;274;262;229;207;229;163
46;F;1;35;70;55;45;55;25
46;F;50;142;134;117;106;117;84
46;F;100;274;262;229;207;229;163
47;M;1;60;95;80;60;80;30
47;M;50;167;161;145;123;145;90
47;M;100;324;317;284;240;284;174
47;F;1;60;95;80;60;80;30
47;F;50;167;161;145;123;145;90
47;F;100;324;317;284;240;284;174
48;M;1;60;55;50;40;55;45
48;M;50;167;117;112;101;117;106
48;M;100;324;229;218;196;229;207
48;F;1;60;55;50;40;55;45
48;F;50;167;117;112;101;117;106
48;F;100;324;229;218;196;229;207
49;M;1;70;65;60;90;75;90
49;M;50;177;128;123;156;139;156
49;M;100;344;251;240;306;273;306
49;F;1;70;65;60;90;75;90
49;F;50;177;128;123;156;139;156
49;F;100;344;251;240;306;273;306
50;M;1;10;55;25;35;45;95
50;M;50;117;117;84;95;106;161
50;M;100;224;229;163;185;207;317
50;F;1;10;55;25;35;45;95
50;F;50;117;117;84;95;106;161
50;F;100;224;229;163;185;207;317
51;M;1;35;100;50;50;70;120
51;M;50;142;167;123;112;134;178
51;M;100;274;328;240;218;262;350
51;F;1;35;100;50;50;70;120
51;F;50;142;167;123;112;134;178
51;F;100;274;328;240;218;262;350
52;M;1;40;45;35;40;40;90
52;M;50;147;106;95;101;101;156
52;M;100;284;207;185;196;196;306
52;F;1;40;45;35;40;40;90
52;F;50;147;106;95;101;101;156
52;F;100;284;207;185;196;196;306
53;M;1;65;70;60;65;65;115
53;M;50;172;134;123;128;128;183
53;M;100;334;262;240;251;251;361
53;F;1;65;70;60;65;65;115
53;F;50;172;134;123;128;128;183
53;F;100;334;262;240;251;251;361
54;M;1;50;52;48;65;50;55
54;M;50;157;114;110;128;112;117
54;M;100;304;223;214;251;218;229
54;F;1;50;52;48;65;50;55
54;F;50;157;114;110;128;112;117
54;F;100;304;223;214;251;218;229
55;M;1;80;82;78;95;80;85
55;M;50;187;147;143;161;145;150
55;M;100;364;289;280;317;284;295
55;F;1;80;82;78;95;80;85
55;F;50;187;147;143;161;145;150
55;F;100;364;289;280;317;284;295
56;M;1;40;80;35;35;45;70
56;M;50;147;145;95;95;106;134
56;M;100;284;284;185;185;207;262
56;F;1;40;80;35;35;45;70
56;F;50;147;145;95;95;106;134
56;F;100;284;284;185;185;207;262
57;M;1;65;105;60;60;70;95
57;M;50;172;172;123;123;134;161
57;M;100;334;339;240;240;262;317
57;F;1;65;105;60;60;70;95
57;F;50;172;172;123;123;134;161
57;F;100;334;339;240;240;262;317
58;M;1;55;70;45;70;50;60
58;M;50;162;134;106;134;112;123
58;M;100;314;262;207;262;218;240
58;F;1;55;70;45;70;50;60
58;F;50;162;134;106;134;112;123
58;F;100;314;262;207;262;218;240
59;M;1;90;110;80;100;80;95
59;M;50;197;178;145;167;145;161
59;M;100;384;350;284;328;284;317
59;F;1;90;110;80;100;80;95
59;F;50;197;178;145;167;145;161
59;F;100;384;350;284;328;284;317
60;M;1;40;50;40;40;40;90
60;M;50;147;112;101;101;101;156
60;M;100;284;218;196;196;196;306
60;F;1;40;50;40;40;40;90
60;F;50;147;112;101;101;101;156
60;F;100;284;218;196;196;196;306
61;M;1;65;65;65;50;50;90
61;M;50;172;128;128;112;112;156
61;M;100;334;251;251;218;218;306
61;F;1;65;65;65;50;50;90
61;F;50;172;128;128;112;112;156
61;F;100;334;251;251;218;218;306
62;M;1;90;95;95;70;90;70
62;M;50;197;161;161;134;156;134
62;M;100;384;317;217;262;306;262
62;F;1;90;95;95;70;90;70
62;F;50;197;161;161;134;156;134
62;F;100;384;317;217;262;306;262
63;M;1;25;20;15;105;55;90
63;M;50;132;79;73;172;117;156
63;M;100;254;152;141;339;229;306
63;F;1;25;20;15;105;55;90
63;F;50;132;79;73;172;117;156
63;F;100;254;152;141;339;229;306
64;M;1;40;35;30;120;70;105
64;M;50;147;95;90;189;134;172
64;M;100;284;185;174;372;262;339
64;F;1;40;35;30;120;70;105
64;F;50;147;95;90;189;134;172
64;F;100;284;185;174;372;262;339
65;M;1;55;50;45;135;95;120
65;M;50;162;112;106;205;161;189
65;M;100;314;218;207;405;317;372
65;F;1;55;50;45;135;95;120
65;F;50;162;112;106;205;161;189
65;F;100;314;218;207;405;317;372
66;M;1;70;80;50;35;35;35
66;M;50;177;145;112;95;95;95
66;M;100;344;284;218;185;185;185
66;F;1;70;80;50;35;35;35
66;F;50;177;145;112;95;95;95
66;F;100;344;284;218;185;185;185
67;M;1;80;100;70;50;60;45
67;M;50;187;167;134;112;123;106
67;M;100;364;328;262;218;240;207
67;F;1;80;100;70;50;60;45
67;F;50;187;167;134;112;123;106
67;F;100;364;328;262;218;240;207
68;M;1;90;130;80;65;85;55
68;M;50;197;200;145;128;150;117
68;M;100;384;294;284;251;295;229
68;F;1;90;130;80;65;85;55
68;F;50;197;200;145;128;150;117
68;F;100;384;294;284;251;295;229
69;M;1;50;75;35;70;30;40
69;M;50;157;139;95;134;90;101
69;M;100;304;273;185;262;174;196
69;F;1;50;75;35;70;30;40
69;F;50;157;139;95;134;90;101
69;F;100;304;273;185;262;174;196
70;M;1;65;90;50;85;45;55
70;M;50;172;156;112;150;106;117
70;M;100;334;306;218;295;207;229
70;F;1;65;90;50;85;45;55
70;F;50;172;156;112;150;106;117
70;F;100;334;306;218;295;207;229
71;M;1;80;105;65;100;70;70
71;M;50;187;172;128;167;134;134
71;M;100;364;339;251;328;262;262
71;F;1;80;105;65;100;70;70
71;F;50;187;172;128;167;134;134
71;F;100;364;339;251;328;262;262
72;M;1;40;40;35;50;100;70
72;M;50;147;101;95;112;167;134
72;M;100;284;196;185;218;328;262
72;F;1;40;40;35;50;100;70
72;F;50;147;101;95;112;167;134
72;F;100;284;196;185;218;328;262
73;M;1;80;70;65;80;120;100
73;M;50;187;134;128;145;189;167
73;M;100;364;262;251;284;372;328
73;F;1;80;70;65;80;120;100
73;F;50;187;134;128;145;189;167
73;F;100;364;262;251;284;372;328
74;M;1;40;80;100;30;30;20
74;M;50;147;145;167;90;90;79
74;M;100;284;284;328;174;174;152
74;F;1;40;80;100;30;30;20
74;F;50;147;145;167;90;90;79
74;F;100;284;284;328;174;174;152
75;M;1;55;95;115;45;45;35
75;M;50;162;161;183;106;106;95
75;M;100;314;317;361;207;207;185
75;F;1;55;95;115;45;45;35
75;F;50;162;161;183;106;106;95
75;F;100;314;317;361;207;207;185
76;M;1;80;120;130;55;65;45
76;M;50;187;189;200;117;128;106
76;M;100;364;372;394;229;251;207
76;F;1;80;120;130;55;65;45
76;F;50;187;189;200;117;128;106
76;F;100;364;372;394;229;251;207
77;M;1;50;85;55;65;65;90
77;M;50;157;150;117;128;128;156
77;M;100;304;295;229;251;251;306
77;F;1;50;85;55;65;65;90
77;F;50;157;150;117;128;128;156
77;F;100;304;295;229;251;251;306
78;M;1;65;100;70;80;80;105
78;M;50;172;167;134;145;145;172
78;M;100;334;328;262;284;284;339
78;F;1;65;100;70;80;80;105
78;F;50;172;167;134;145;145;172
78;F;100;334;328;262;284;284;339
79;M;1;90;65;65;40;40;15
79;M;50;197;128;128;101;101;73
79;M;100;384;251;251;196;196;141
79;F;1;90;65;65;40;40;15
79;F;50;197;128;128;101;101;73
79;F;100;384;251;251;196;196;141
80;M;1;95;75;110;100;80;30
80;M;50;202;139;178;167;145;90
80;M;100;394;273;350;328;284;174
80;F;1;95;75;110;100;80;30
80;F;50;202;139;178;167;145;90
80;F;100;394;273;350;328;284;174
81;I;1;25;35;70;95;55;45
81;I;50;132;95;134;161;117;106
81;I;100;254;185;262;317;229;207
82;I;1;50;60;95;120;70;70
82;I;50;157;123;161;189;134;134
82;I;100;304;240;317;372;262;262
83;M;1;52;90;55;58;62;60
83;M;50;159;156;117;121;125;123
83;M;100;308;306;229;236;245;240
83;F;1;52;90;55;58;62;60
83;F;50;159;156;117;121;125;123
83;F;100;308;306;229;236;245;240
84;M;1;35;85;45;35;35;75
84;M;50;142;150;106;95;95;139
84;M;100;274;295;207;185;185;273
84;F;1;35;85;45;35;35;75
84;F;50;142;150;106;95;95;139
84;F;100;274;295;207;185;185;273
85;M;1;60;110;70;60;60;110
85;M;50;167;178;134;123;123;178
85;M;100;324;350;262;240;240;350
85;F;1;60;110;70;60;60;110
85;F;50;167;178;134;123;123;178
85;F;100;324;350;262;240;240;350
86;M;1;65;45;55;45;70;45
86;M;50;172;106;117;106;134;106
86;M;100;334;207;229;207;262;207
86;F;1;65;45;55;45;70;45
86;F;50;172;106;117;106;134;106
86;F;100;334;207;229;207;262;207
87;M;1;90;70;80;70;95;70
87;M;50;197;134;145;134;161;134
87;M;100;384;262;284;262;317;262
87;F;1;90;70;80;70;95;70
87;F;50;197;134;145;134;161;134
87;F;100;384;262;284;262;317;262
88;M;1;80;80;50;40;50;25
88;M;50;187;145;112;101;112;84
88;M;100;364;284;218;196;218;163
88;F;1;80;80;50;40;50;25
88;F;50;187;145;112;101;112;84
88;F;100;364;284;218;196;218;163
89;M;1;105;105;75;65;100;50
89;M;50;212;172;139;128;167;112
89;M;100;414;339;273;251;328;218
89;F;1;105;105;75;65;100;50
89;F;50;212;172;139;128;167;112
89;F;100;414;339;273;251;328;218
90;M;1;30;65;100;45;25;40
90;M;50;137;128;167;106;84;101
90;M;100;264;251;328;207;163;196
90;F;1;30;65;100;45;25;40
90;F;50;137;128;167;106;84;101
90;F;100;264;251;328;207;163;196
91;M;1;50;95;180;85;45;70
91;M;50;157;161;255;150;106;134
91;M;100;304;317;504;295;207;262
91;F;1;50;95;180;85;45;70
91;F;50;157;161;255;150;106;134
91;F;100;304;317;504;295;207;262
92;M;1;30;35;30;100;35;80
92;M;50;137;95;90;167;95;145
92;M;100;264;185;174;328;185;284
92;F;1;30;35;30;100;35;80
92;F;50;137;95;90;167;95;145
92;F;100;264;185;174;328;185;284
93;M;1;45;50;45;115;55;95
93;M;50;152;112;106;183;117;161
93;M;100;294;218;207;361;229;317
93;F;1;45;50;45;115;55;95
93;F;50;152;112;106;183;117;161
93;F;100;294;218;207;361;229;317
94;M;1;60;65;60;130;75;110
94;M;50;167;128;123;200;139;178
94;M;100;324;251;240;394;273;350
94;F;1;60;65;60;130;75;110
94;F;50;167;128;123;200;139;178
94;F;100;324;251;240;394;273;350
95;M;1;35;45;160;30;45;70
95;M;50;142;106;233;90;106;134
95;M;100;274;207;460;174;207;262
95;F;1;35;45;160;30;45;70
95;F;50;142;106;233;90;106;134
95;F;100;274;207;460;174;207;262
96;M;1;60;48;45;43;90;42
96;M;50;167;110;106;104;156;103
96;M;100;324;214;207;203;306;201
96;F;1;60;48;45;43;90;42
96;F;50;167;110;106;104;156;103
96;F;100;324;214;207;203;306;201
97;M;1;85;73;70;73;115;67
97;M;50;192;137;134;137;183;130
97;M;100;374;269;262;269;361;256
97;F;1;85;73;70;73;115;67
97;F;50;192;137;134;137;183;130
97;F;100;374;269;262;269;361;256
98;M;1;30;105;90;25;25;50
98;M;50;137;172;156;84;84;112
98;M;100;264;339;306;163;163;218
98;F;1;30;105;90;25;25;50
98;F;50;137;172;156;84;84;112
98;F;100;264;339;306;163;163;218
99;M;1;55;130;115;50;50;75
99;M;50;162;200;183;112;112;139
99;M;100;314;394;361;218;218;273
99;F;1;55;130;115;50;50;75
99;F;50;162;200;183;112;112;139
99;F;100;314;394;361;218;218;273
100;I;1;40;30;50;55;55;100
100;I;50;147;90;112;117;117;167
100;I;100;284;174;218;229;229;328
101;I;1;60;50;70;80;80;150
101;I;50;167;112;134;145;145;222
101;I;100;324;218;262;284;284;438
102;M;1;60;40;80;60;45;40
102;M;50;167;101;146;123;106;101
102;M;100;324;196;284;240;207;196
102;F;1;60;40;80;60;45;40
102;F;50;167;101;146;123;106;101
102;F;100;324;196;284;240;207;196
103;M;1;95;95;85;125;75;55
103;M;50;202;161;150;194;139;117
103;M;100;394;317;295;383;273;229
103;F;1;95;95;85;125;75;55
103;F;50;202;161;150;194;139;117
103;F;100;394;317;295;383;273;229
104;M;1;50;50;95;40;50;35
104;M;50;157;112;161;101;112;95
104;M;100;304;218;317;196;218;185
104;F;1;50;50;95;40;50;35
104;F;50;157;112;161;101;112;95
104;F;100;304;218;317;196;218;185
105;M;1;60;80;110;50;80;45
105;M;50;167;145;178;112;145;106
105;M;100;324;284;350;218;284;207
105;F;1;60;80;110;50;80;45
105;F;50;167;145;178;112;145;106
105;F;100;324;284;350;218;284;207
106;M;1;50;120;53;35;110;87
106;M;50;157;189;115;95;178;152
106;M;100;304;372;225;185;350;300
107;M;1;50;105;79;35;110;76
107;M;50;157;172;144;95;178;140
107;M;100;304;339;282;185;350;276
108;M;1;90;55;75;60;75;30
108;M;50;197;117;139;123;139;90
108;M;100;384;229;273;240;273;174
108;F;1;90;55;75;60;75;30
108;F;50;197;117;139;123;139;90
108;F;100;384;229;273;240;273;174
109;M;1;40;65;95;60;45;35
109;M;50;147;128;161;123;106;95
109;M;100;284;251;317;240;207;185
109;F;1;40;65;95;60;45;35
109;F;50;147;128;161;123;106;95
109;F;100;284;251;317;240;207;185
110;M;1;65;90;120;85;70;60
110;M;50;172;156;189;150;134;123
110;M;100;334;306;372;295;262;240
110;F;1;65;90;120;85;70;60
110;F;50;172;156;189;150;134;123
110;F;100;334;306;372;295;262;240
111;M;1;80;85;95;30;30;25
111;M;50;187;150;161;90;90;84
111;M;100;364;295;317;174;174;163
111;F;1;80;85;95;30;30;25
111;F;50;187;150;161;90;90;84
111;F;100;364;295;317;174;174;163
112;M;1;105;130;120;45;45;40
112;M;50;212;200;189;106;106;101
112;M;100;414;394;372;207;207;196
112;F;1;105;130;120;45;45;40
112;F;50;212;200;189;106;106;101
112;F;100;414;394;372;207;207;196
113;F;1;250;5;5;35;105;50
113;F;50;357;62;62;95;172;112
113;F;100;704;119;119;185;339;218
114;M;1;65;55;115;100;40;60
114;M;50;172;117;183;167;101;123
114;M;100;334;229;361;328;196;240
114;F;1;65;55;115;100;40;60
114;F;50;172;117;183;167;101;123
114;F;100;334;229;361;328;196;240
115;F;1;105;95;80;40;80;90
115;F;50;212;161;145;101;145;156
115;F;100;414;317;284;196;284;306
116;M;1;30;40;70;70;25;60
116;M;50;137;101;134;134;84;123
116;M;100;264;196;262;262;163;240
116;F;1;30;40;70;70;25;60
116;F;50;137;101;134;134;84;123
116;F;100;264;196;262;262;163;240
117;M;1;55;65;95;95;45;85
117;M;50;162;128;161;161;106;150
117;M;100;314;251;317;317;207;295
117;F;1;55;65;95;95;45;85
117;F;50;162;128;161;161;106;150
117;F;100;314;251;317;317;207;295
118;M;1;45;67;60;35;50;63
118;M;50;152;130;123;95;112;126
118;M;100;294;256;240;185;218;247
118;F;1;45;67;60;35;50;63
118;F;50;152;130;123;95;112;126
118;F;100;294;256;240;185;218;247
119;M;1;80;92;65;65;80;68
119;M;50;187;158;128;128;145;132
119;M;100;364;311;251;251;284;258
119;F;1;80;92;65;65;80;68
119;F;50;187;158;128;128;145;132
119;F;100;364;311;251;251;284;258
120;I;1;30;45;55;70;55;85
120;I;50;137;106;117;134;117;150
120;I;100;264;207;229;262;229;295
121;I;1;60;75;85;100;85;115
121;I;50;167;139;150;167;150;183
121;I;100;324;273;295;328;295;361
122;M;1;40;45;65;100;120;90
122;M;50;147;106;128;167;189;156
122;M;100;284;207;251;328;372;306
122;F;1;40;45;65;100;120;90
122;F;50;147;106;128;167;189;156
122;F;100;284;207;251;328;372;306
123;M;1;70;110;80;55;80;105
123;M;50;177;178;145;117;145;172
123;M;100;344;350;284;229;284;339
123;F;1;70;110;80;55;80;105
123;F;50;177;178;145;117;145;172
123;F;100;344;350;284;229;284;339
124;F;1;65;50;35;115;95;95
124;F;50;172;112;95;183;161;161
124;F;100;334;218;185;361;317;317
125;M;1;65;83;57;95;85;105
125;M;50;172;148;119;161;150;172
125;M;100;334;291;234;317;295;339
125;F;1;65;83;57;95;85;105
125;F;50;172;148;119;161;150;172
125;F;100;334;291;234;317;295;339
126;M;1;65;95;57;100;85;93
126;M;50;172;161;119;167;150;159
126;M;100;334;317;234;328;295;313
126;F;1;65;95;57;100;85;93
126;F;50;172;161;119;167;150;159
126;F;100;334;317;234;328;295;313
127;M;1;65;125;100;55;70;85
127;M;50;172;194;167;117;134;150
127;M;100;334;383;328;229;262;295
127;F;1;65;125;100;55;70;85
127;F;50;172;194;167;117;134;150
127;F;100;334;383;328;229;262;295
128;M;1;75;100;95;40;70;110
128;M;50;182;167;161;101;134;178
128;M;100;354;328;317;196;262;350
129;M;1;20;10;55;15;20;80
129;M;50;127;68;117;73;79;145
129;M;100;244;130;229;141;152;284
129;F;1;20;10;55;15;20;80
129;F;50;127;68;117;73;79;145
129;F;100;244;130;229;141;152;284
130;M;1;95;125;79;60;100;81
130;M;50;202;194;144;123;167;146
130;M;100;394;383;282;240;328;287
130;F;1;95;125;79;60;100;81
130;F;50;202;194;144;123;167;146
130;F;100;394;383;282;240;328;287
131;M;1;130;85;80;85;95;60
131;M;50;237;150;145;150;161;123
131;M;100;464;295;284;295;317;240
131;F;1;130;85;80;85;95;60
131;F;50;237;150;145;150;161;123
131;F;100;464;295;284;295;317;240
132;I;1;48;48;48;48;48;48
132;I;50;155;110;110;110;110;110
132;I;100;300;214;214;214;214;214
133;M;1;55;55;50;45;65;55
133;M;50;162;117;112;106;128;117
133;M;100;314;229;218;207;251;229
133;F;1;55;55;50;45;65;55
133;F;50;162;117;112;106;128;117
133;F;100;314;229;218;207;251;229
134;M;1;130;65;60;110;95;65
134;M;50;237;128;123;178;161;128
134;M;100;464;251;240;350;317;251
134;F;1;130;65;60;110;95;65
134;F;50;237;128;123;178;161;128
134;F;100;464;251;240;350;317;251
135;M;1;65;65;60;110;95;130
135;M;50;172;128;123;178;161;200
135;M;100;334;252;240;350;317;394
135;F;1;65;65;60;110;95;130
135;F;50;172;128;123;178;161;200
135;F;100;334;252;240;350;317;394
136;M;1;65;130;60;95;110;65
136;M;50;172;200;123;161;178;128
136;M;100;334;394;240;317;350;251
136;F;1;65;130;60;95;110;65
136;F;50;172;200;123;161;178;128
136;F;100;334;394;240;317;350;251
137;I;1;65;60;70;85;75;40
137;I;50;172;123;134;150;139;101
137;I;100;334;240;262;295;273;196
138;M;1;35;40;100;90;55;35
138;M;50;142;101;167;156;117;95
138;M;100;274;196;328;306;229;185
138;F;1;35;40;100;90;55;35
138;F;50;142;101;167;156;117;95
138;F;100;274;196;328;306;229;185
139;M;1;70;60;125;115;70;55
139;M;50;177;123;194;183;134;117
139;M;100;344;240;383;361;262;229
139;F;1;70;60;125;115;70;55
