Numero;Nome;Cor;OvoTipo1;OvoTipo2;Tipo1;Tipo2;Tamanho;Peso;Lendario;Mistico
754;Lurantis;rosa;grama;;grama;;0,9;18,5;F;F
755;Morelull;roxo;grama;;grama;fada;0,2;1,5;F;F
756;Shiinotic;roxo;grama;;grama;fada;1;11,5;F;F
757;Salandit;preto;monstro;dragao;veneno;fogo;0,6;4,8;F;F
758;Salazzle;preto;monstro;dragao;veneno;fogo;1,2;22,2;F;F
759;Stufful;rosa;campo;;normal;lutador;0,5;6,8;F;F
760;Bewear;rosa;campo;;normal;lutador;2,1;135;F;F
761;Bounsweet;roxo;grama;;grama;;0,3;3,2;F;F
762;Steenee;roxo;grama;;grama;;0,7;8,2;F;F
763;Tsareena;roxo;grama;;grama;;1,2;21,4;F;F
764;Comfey;verde;grama;;fada;;0,1;0,3;F;F
765;Oranguru;branco;campo;;normal;psiquico;1,5;76;F;F
766;Passimian;branco;campo;;lutador;;2;82,8;F;F
767;Wimpod;cinza;inseto;agua_3;inseto;agua;0,5;12;F;F
768;Golisopod;cinza;inseto;agua_3;inseto;agua;2;108;F;F
769;Sandygast;marrom;indeterminado;;fantasma;fantasma;0,5;70;F;F
770;Palossand;marrom;indeterminado;;fantasma;fantasma;1,3;250;F;F
771;Pyukumuku;preto;agua_1;;agua;;0,3;1,2;F;F
772;Type-Null;cinza;desconhecido;;normal;;1,9;120,5;F;F
773;Silvally;cinza;desconhecido;;normal;;2,3;100,5;F;F
774;Minior;marrom;inorganico;;pedra;voador;0,3;40;F;F
775;Komala;azul;campo;;normal;;0,4;19,9;F;F
776;Turtonator;vermelho;monstro;dragao;fogo;dragao;2;212;F;F
777;Togedemaru;cinza;campo;fada;elétrico;ferro;0,3;3,3;F;F
778;Mimikyu;amarelo;indeterminado;;fantasma;fada;0,2;0,7;F;F
779;Bruxish;rosa;agua_2;;agua;psiquico;0,9;19;F;F
780;Drampa;branco;monstro;dragao;normal;dragao;3;185;F;F
781;Dhelmise;verde;inorganico;;fantasma;fantasma;3,9;210;F;F
782;Jangmo-O;cinza;dragao;;dragao;;0,6;29,7;F;F
783;Hakamo-O;cinza;dragao;;dragao;lutador;1,2;47;F;F
784;Kommo-O;cinza;dragao;;dragao;lutador;1,6;78,2;F;F
785;Tapu-Koko;amarelo;desconhecido;;elétrico;fada;1,8;20,5;T;F
786;Tapu-Lele;rosa;desconhecido;;psiquico;fada;1,2;18,6;T;F
787;Tapu-Bulu;vermelho;desconhecido;;grama;fada;1,9;45,5;T;F
788;Tapu-Fini;roxo;desconhecido;;agua;fada;1,3;21,2;T;F
789;Cosmog;azul;desconhecido;;psiquico;;0,2;0,1;T;F
790;Cosmoem;azul;desconhecido;;psiquico;;0,1;999,99;T;F
791;Solgaleo;branco;desconhecido;;psiquico;ferro;3,4;230;T;F
792;Lunala;roxo;desconhecido;;psiquico;fantasma;4;120;T;F
793;Nihilego;branco;desconhecido;;pedra;veneno;1,2;55,5;F;F
794;Buzzwole;preto;desconhecido;;inseto;lutador;2,4;333,6;F;F
795;Pheromosa;verde;desconhecido;;inseto;lutador;1,8;25;F;F
796;Xurkitree;preto;desconhecido;;elétrico;;3,8;100;F;F
797;Celesteela;branco;desconhecido;;ferro;voador;9,2;999,9;F;F
798;Kartana;branco;desconhecido;;grama;ferro;0,3;0,1;F;F
799;Guzzlord;preto;desconhecido;;sombrio;dragao;5,5;888;F;F
800;Necrozma;cinza;desconhecido;;psiquico;;2,4;230;T;F
801;Magearna;cinza;desconhecido;;ferro;fada;1;80,5;F;T
802;Marshadow;roxo;desconhecido;;lutador;fantasma;0,7;22,2;F;T
803;Poipole;roxo;desconhecido;;veneno;;0,6;1,8;F;F
804;Naganadel;roxo;desconhecido;;veneno;dragao;3,6;150;F;F
805;Stakataka;cinza;desconhecido;;pedra;ferro;5,5;820;F;F
806;Blacephalon;branco;desconhecido;;fogo;fantasma;1,8;13;F;F
807;Zeraora;amarelo;desconhecido;;elétrico;;1,5;44,5;F;T
808;Meltan;cinza;desconhecido;;ferro;;0,2;8;F;T
809;Melmetal;cinza;desconhecido;;ferro;;2,5;800;F;T
810;Grookey;verde;campo;grama;grama;;0,3;5;F;F
811;Thwackey;verde;campo;grama;grama;;0,7;14;F;F
812;Rillaboom;verde;campo;grama;grama;;2,1;90;F;F
813;Scorbunny;branco;campo;bipedes;fogo;;0,3;4,5;F;F
814;Raboot;branco;campo;bipedes;fogo;;0,6;9;F;F
815;Cinderace;branco;campo;bipedes;fogo;;1,4;33;F;F
816;Sobble;azul;agua_1;campo;agua;;0,3;4;F;F
817;Drizzile;azul;agua_1;campo;agua;;0,7;11,5;F;F
818;Inteleon;azul;agua_1;campo;agua;;1,9;45,2;F;F
819;Skwovet;marrom;campo;;normal;;0,3;2,5;F;F
820;Greedent;marrom;campo;;normal;;0,6;6;F;F
821;Rookidee;azul;voador;;voador;;0,2;1,8;F;F
822;Corvisquire;azul;voador;;voador;;0,8;16;F;F
823;Corviknight;roxo;voador;;voador;ferro;2,2;75;F;F
824;Blipinseto;azul;inseto;;inseto;;0,4;8;F;F
825;Dottler;amarelo;inseto;;inseto;psiquico;0,4;19,5;F;F
826;Orbeetle;vermelho;inseto;;inseto;psiquico;0,4;40,8;F;F
827;Nickit;marrom;campo;;sombrio;;0,6;8,9;F;F
828;Thievul;marrom;campo;;sombrio;;1,2;19,9;F;F
829;Gossifleur;verde;grama;;grama;;0,4;2,2;F;F
830;Eldegoss;verde;grama;;grama;;0,5;2,5;F;F
831;Wooloo;branco;campo;;normal;;0,6;6;F;F
832;Dubwool;branco;campo;;normal;;1,3;43;F;F
833;Chewtle;verde;monstro;agua_1;agua;;0,3;8,5;F;F
834;Drednaw;verde;monstro;agua_1;agua;pedra;1;115,5;F;F
835;Yamper;amarelo;campo;;elétrico;;0,3;13,5;F;F
836;Boltund;amarelo;campo;;elétrico;;1;34;F;F
837;Rolycoly;preto;inorganico;;pedra;;0,3;12;F;F
838;Carkol;preto;inorganico;;pedra;fogo;1,1;78;F;F
839;Coalossal;preto;inorganico;;pedra;fogo;2,8;310,5;F;F
840;Applin;verde;grama;dragao;grama;dragao;0,2;0,5;F;F
841;Flapple;verde;grama;dragao;grama;dragao;0,3;1;F;F
842;Appletun;verde;grama;dragao;grama;dragao;0,4;13;F;F
843;Silicobra;verde;campo;dragao;terra;;2,2;7,6;F;F
844;Sandaconda;verde;campo;dragao;terra;;3,8;65,5;F;F
845;Cramorant;azul;agua_1;voador;voador;agua;0,8;18;F;F
846;Arrokuda;marrom;agua_2;;agua;;0,5;1;F;F
847;Barraskewda;marrom;agua_2;;agua;;1,3;30;F;F
848;Toxel;roxo;desconhecido;;elétrico;veneno;0,4;11;F;F
849;Toxtricity;roxo;bipedes;;elétrico;veneno;1,6;40;F;F
850;Sizzlipede;vermelho;inseto;;fogo;inseto;0,7;1;F;F
851;Centiskorch;vermelho;inseto;;fogo;inseto;3;120;F;F
852;Clobbopus;marrom;agua_1;bipedes;lutador;;0,6;4;F;F
853;Grapploct;azul;agua_1;bipedes;lutador;;1,6;39;F;F
854;Sinistea;roxo;desconhecido;;fantasma;;0,1;0,2;F;F
855;Polteageist;roxo;inorganico;indeterminado;fantasma;;0,2;0,4;F;F
856;Hatenna;rosa;fada;;psiquico;;0,4;3,4;F;F
857;Hattrem;rosa;fada;;psiquico;;0,6;4,8;F;F
858;Hatterene;rosa;fada;;psiquico;fada;2,1;5,1;F;F
859;Impidimp;rosa;fada;bipedes;sombrio;fada;0,4;5,5;F;F
860;Morgrem;rosa;fada;bipedes;sombrio;fada;0,8;12,5;F;F
861;Grimmsnarl;roxo;fada;bipedes;sombrio;fada;1,5;61;F;F
862;Obstagoon;cinza;campo;;sombrio;normal;1,6;46;F;F
863;Perrserker;marrom;campo;;ferro;;0,8;28;F;F
864;Cursola;branco;agua_1;agua_2;fantasma;;1;0,4;F;F
865;Sirfetchd;branco;voador;campo;lutador;;0,8;117;F;F
866;Mr-Rime;roxo;bipedes;;gelo;psiquico;1,5;58,2;F;F
867;Runerigus;cinza;inorganico;indeterminado;terra;fantasma;1,6;66,6;F;F
868;Milcery;branco;fada;indeterminado;fada;;0,2;0,3;F;F
869;Alcremie;branco;fada;indeterminado;fada;;0,3;0,5;F;F
870;Falinks;amarelo;fada;inorganico;lutador;;3;62;F;F
871;Pincurchin;roxo;agua_1;indeterminado;elétrico;;0,3;1;F;F
872;Snom;branco;inseto;;gelo;inseto;0,3;3,8;F;F
873;Frosmoth;branco;inseto;;gelo;inseto;1,3;42;F;F
874;Stonjourner;cinza;inorganico;;pedra;;2,5;520;F;F
875;Eiscue;azul;agua_1;campo;gelo;;1,4;89;F;F
876;Indeedee;roxo;fada;;psiquico;normal;0,9;28;F;F
877;Morpeko;amarelo;campo;fada;elétrico;sombrio;0,3;3;F;F
878;Cufant;amarelo;campo;inorganico;ferro;;1,2;100;F;F
879;Copperajah;verde;campo;inorganico;ferro;;3;650;F;F
880;Dracozolt;verde;desconhecido;;elétrico;dragao;1,8;190;F;F
881;Arctozolt;azul;desconhecido;;elétrico;gelo;2,3;150;F;F
882;Dracovish;verde;desconhecido;;agua;dragao;2,3;215;F;F
883;Arctovish;azul;desconhecido;;agua;gelo;2;175;F;F
884;Duraludon;branco;inorganico;dragao;ferro;dragao;1,8;40;F;F
885;Dreepy;verde;indeterminado;dragao;dragao;fantasma;0,5;2;F;F
886;Drakloak;verde;indeterminado;dragao;dragao;fantasma;1,4;11;F;F
887;Dragapult;verde;indeterminado;dragao;dragao;fantasma;3;50;F;F
888;Zacian;azul;desconhecido;;fada;;2,8;110;T;F
889;Zamazenta;vermelho;desconhecido;;lutador;;2,9;210;T;F
890;Eternatus;roxo;desconhecido;;veneno;dragao;20;950;T;F
891;Kubfu;cinza;desconhecido;;lutador;;0,6;12;T;F
892;Urshifu;cinza;desconhecido;;lutador;sombrio;1,9;105;T;F
893;Zarude;preto;desconhecido;;sombrio;fantasma;1,8;70;F;T
894;Regieleki;amarelo;desconhecido;;elétrico;;1,2;145;T;F
895;Regidrago;verde;desconhecido;;dragao;;2,1;200;T;F
896;Glastrier;branco;desconhecido;;gelo;;2,2;800;T;F
897;Spectrier;preto;desconhecido;;fantasma;;2;44,5;T;F
898;Calyrex;verde;desconhecido;;psiquico;fantasma;1,1;7,7;T;F
899;Wyrdeer ;cinza;campo;;normal;psiquico;1,8;95,1;F;F
900;Kleavor;marrom;inseto;;inseto;pedra;1,8;89;F;F
901;Ursaluna;marrom;campo;;terra;normal;2,4;290;F;F
902;Basculegion;verde;agua_2;;agua;fantasma;3;110;F;F
903;Sneasler;azul;campo;;lutador;veneno;1,3;43;F;F
904;Overqwil;preto;agua_2;;sombrio;veneno;2,5;60,5;F;F
905;Enamorus;rosa;desconhecido;;fada;voador;1,6;48;T;F
